time, pixel_value, temp_value
2025-05-14 14:36:13, 123, 65
2025-05-14 14:36:13, 136, 77
2025-05-14 14:36:13, 142, 81
2025-05-14 14:36:13, 114, 70
2025-05-14 14:36:13, 96, 59
2025-05-14 14:36:13, 146, 70
2025-05-14 14:36:13, 138, 72
2025-05-14 14:36:13, 143, 82
2025-05-14 14:36:13, 125, 82
2025-05-14 14:36:13, 123, 66
2025-05-14 14:36:13, 126, 92
2025-05-14 14:36:13, 136, 78
2025-05-14 14:36:13, 128, 75
2025-05-14 14:36:13, 134, 75
2025-05-14 14:36:13, 131, 76
2025-05-14 14:36:13, 141, 83
2025-05-14 14:36:13, 131, 81
2025-05-14 14:36:13, 126, 92
2025-05-14 14:36:13, 121, 79
2025-05-14 14:36:13, 129, 74
2025-05-14 14:36:13, 115, 54
2025-05-14 14:36:13, 135, 74
2025-05-14 14:36:13, 114, 65
2025-05-14 14:36:13, 143, 62
2025-05-14 14:36:13, 147, 67
2025-05-14 14:36:13, 141, 73
2025-05-14 14:36:13, 128, 71
2025-05-14 14:36:13, 137, 74
2025-05-14 14:36:13, 138, 88
2025-05-14 14:36:13, 144, 91
2025-05-14 14:36:13, 113, 90
2025-05-14 14:36:13, 119, 79
2025-05-14 14:36:13, 118, 85
2025-05-14 14:36:13, 133, 81
2025-05-14 14:36:13, 121, 76
2025-05-14 14:36:13, 124, 92
2025-05-14 14:36:13, 123, 73
2025-05-14 14:36:13, 140, 87
2025-05-14 14:36:13, 137, 73
2025-05-14 14:36:13, 116, 70
2025-05-14 14:36:13, 128, 74
2025-05-14 14:36:13, 143, 78
2025-05-14 14:36:13, 132, 74
2025-05-14 14:36:13, 150, 77
2025-05-14 14:36:13, 138, 81
2025-05-14 14:36:13, 120, 86
2025-05-14 14:36:13, 105, 90
2025-05-14 14:36:13, 114, 52
2025-05-14 14:36:13, 132, 58
2025-05-14 14:36:13, 131, 102
2025-05-14 14:36:13, 120, 63
2025-05-14 14:36:13, 144, 69
2025-05-14 14:36:13, 135, 73
2025-05-14 14:36:13, 137, 67
2025-05-14 14:36:13, 128, 59
2025-05-14 14:36:13, 137, 78
2025-05-14 14:36:13, 122, 83
2025-05-14 14:36:13, 128, 82
2025-05-14 14:36:13, 124, 80
2025-05-14 14:36:13, 143, 82
2025-05-14 14:36:13, 128, 63
2025-05-14 14:36:13, 145, 86
2025-05-14 14:36:13, 136, 104
2025-05-14 14:36:13, 125, 77
2025-05-14 14:36:13, 117, 74
2025-05-14 14:36:13, 113, 76
2025-05-14 14:36:13, 118, 72
2025-05-14 14:36:13, 150, 66
2025-05-14 14:36:13, 136, 82
2025-05-14 14:36:13, 119, 93
2025-05-14 14:36:13, 122, 61
2025-05-14 14:36:13, 125, 81
2025-05-14 14:36:13, 130, 69
2025-05-14 14:36:13, 123, 75
2025-05-14 14:36:13, 116, 77
2025-05-14 14:36:13, 127, 73
2025-05-14 14:36:13, 139, 73
2025-05-14 14:36:13, 126, 74
2025-05-14 14:36:13, 122, 54
2025-05-14 14:36:13, 124, 64
2025-05-14 14:36:13, 130, 92
2025-05-14 14:36:13, 143, 72
2025-05-14 14:36:13, 122, 61
2025-05-14 14:36:13, 117, 72
2025-05-14 14:36:13, 118, 83
2025-05-14 14:36:13, 124, 66
2025-05-14 14:36:13, 131, 71
2025-05-14 14:36:13, 126, 55
2025-05-14 14:36:13, 141, 76
2025-05-14 14:36:13, 119, 86
2025-05-14 14:36:13, 125, 72
2025-05-14 14:36:13, 119, 84
2025-05-14 14:36:13, 121, 76
2025-05-14 14:36:13, 128, 73
2025-05-14 14:36:13, 143, 71
2025-05-14 14:36:13, 133, 69
2025-05-14 14:36:13, 126, 82
2025-05-14 14:36:13, 132, 69
2025-05-14 14:36:13, 138, 51
2025-05-14 14:36:13, 121, 72
